Question,Answer,Class
1. My computer screen says that I am not connected to the internet.,"Your firewall settings are not allowing our website to connect (this frequently happens when you are attempting to complete a Will while you are at work or on a work computer). Try connecting to our website using a different internet browser. (e.g., Chrome instead of Microsoft Edge). If no success, complete the Will using a different computer (or tablet or smartphone). As a final option, you may need to access the internet using a different internet connection, different computer, and possibly a different internet browser.",Canandawills
2. I have not received my email verification code.,"Check your spam and junk folders. Try using a different email address. Try completing the Will with a different computer/tablet/smartphone, or at a different internet connection. Possible reasons may include a poor internet connection; entering in the wrong email address; email that is sent from our Will site server goes to the junk/spam folder; browser incompatibility issues; customer computer “glitch” issues; customer/business/government firewall security settings not allowing our email to pass through. You may need to start again and make a new Will.",Canandawills
3. I cannot find the pop-up window to enter my email verification code.,It is possible that you inadvertently closed the pop-up window. Start again and make a new Will.,Canandawills
4. I entered my verification code and cannot find my Will.,"It is important to remember what choice you made (Email, Print, or Download) when you requested your verification code by entering in your email address. The Will may have been emailed to you (check your junk and spam folders). If you chose Print or Download, check for a new page or pop-up window on your computer (if you chose Download, your will is prepared in PDF format). If you see a screen that states your Will has been successfully completed, you can choose again, any, or all of them (Email, Print, Download). As a last resort, start again and make a new Will.",Canandawills
5. Do I send you a copy of my completed Last Will and Testament?,No. Do not send us a copy of your Will. It is your responsibility to keep your original Will in a safe place.,Canandawills
"6. If I partially complete my Will, then leave the website, can I return later and continue where I left off?","Yes. We store specific information locally on your device's cache to optimize website performance and allow you to return to complete your unfinished Will at any time. Your information is only stored on your device, and you have the option to clear your cache at any time to remove this data. Refer to our Terms of Use for more information. For security reasons, we do not keep a copy of your Will on our database.",Canandawills
7. I want to make changes to my Will.,"To make changes, you must start again and make a new Will. For security reasons, we do not keep a copy of your Will on our database. You can use our website as often as you like to make a new Will.",Canandawills
8. Do I need my Will Notarized?,"Every State and Province has different laws. We suggest you complete a thorough internet search to determine if you need your Will notarized for your State or Province, and contact a lawyer/attorney.",Canandawills
9. Can you mail me a Hard Copy Will Kit that I can fill out using pen and paper?,"No. We do not provide hard copy Will Kits. If you are working with an Insurance Agent, contact them directly, they may be able to provide you one.",Canandawills
10. Can you help me with specific questions I have regarding my unique circumstances with Will?,"We do not provide legal advice. The website offers comprehensive answers on the Legal Considerations page. Otherwise, you must contact a lawyer/attorney.",Canandawills
11. The Will does not satisfy my unique requirements. What are my options?,Our Wills meet the requirements of approximately 70% of all North Americans. We do not offer modifications of our Will template. You will need to contact a lawyer/attorney for your unique requirements.,Canandawills
12. Do You Require Further Assistance?,If You Require Further Assistance: Email: helpdesk@canadawills.com; Phone: 1-604-229-6617 (Hours 8am to 4pm (Pacific) Monday to Friday).,Canandawills
13. How can I advertise my business or profession on this website?,"No advertising is permitted. However, we offer a special program to non-profit organizations to assist them with planned giving and fundraising. Please contact us at contact@nocostwills.com if you want more information about this program.",Canandawills
What should I do if my computer says it’s not connected to the internet?,"Your firewall settings may be preventing the website from connecting. Try using a different browser like Chrome, or switch to a different device or internet connection.",Canandawills
Why can’t I connect to the website when completing my Will?,"This could be due to firewall settings on your device, especially on work computers. Try switching browsers or using a different internet connection and device.",Canandawills
I didn’t get my verification code in the email. What should I do?,"Check your spam or junk folder. Try using a different email address or device, or start the process again with a different internet connection.",Canandawills
My verification code email hasn’t arrived. What are some troubleshooting steps?,"Make sure you entered the correct email address and check your spam/junk folders. If the issue persists, try using a different browser or device to complete your Will.",Canandawills
I lost the window for entering my email verification code. How do I recover it?,"If you accidentally closed the pop-up window, you will need to restart the process and request a new verification code.",Canandawills
Where did the email verification pop-up window go? How do I proceed?,It’s possible the pop-up was closed or blocked by your browser. Restart the process and request a new verification code.,Canandawills
Why can’t I find the Will after entering my verification code?,"Check the option you selected after entering your code (Email, Print, or Download). If you chose Email, check your junk or spam folders for the Will.",Canandawills
"After entering the code, my Will seems to be missing. What should I check?","Ensure that you selected the correct option after entering the code. The Will may be in your email, available to download, or ready to print as per your previous choice.",Canandawills
Should I send you a copy of my Last Will and Testament once it's complete?,"No, you are responsible for keeping your original Will in a safe place. We do not require a copy of it.",Canandawills
Do I need to mail you a copy of my completed Will?,"No, do not send us your Will. It is your responsibility to safeguard the original copy.",Canandawills
Can I continue working on my Will if I leave the website halfway through?,"Yes, your progress is stored locally in your device’s cache, allowing you to return and continue where you left off.",Canandawills
Will my unfinished Will be saved if I exit the website and come back later?,"Yes, the information is saved in your device’s cache so you can continue from where you left off when you return to the site.",Canandawills
How do I make edits to my existing Will?,"To make changes, you will need to start the process again and create a new Will, as we do not store copies of your Will for security reasons.",Canandawills
"Is it possible to update my Will, or do I need to start a new one?","You need to start a new Will if you want to make changes, as we do not retain copies of your Will.",Canandawills
Is notarization required for my Will to be valid in my state or province?,This depends on your local laws. We recommend checking online or consulting a lawyer to see if notarization is required.,Canandawills
How do I find out if my Will needs notarization in my area?,Laws differ by location. Conduct an online search or consult with a legal professional to determine if notarization is necessary for your Will.,Canandawills
Can you send me a physical Will Kit to fill out?,"No, we do not offer hard copy Will Kits. If you need one, contact your insurance agent or another provider who might have them.",Canandawills
"Are hard copy Will Kits available, or is everything done online?","We do not provide hard copy kits. Our services are entirely online, but you can contact your insurance agent if you need a physical kit.",Canandawills
Where can I get advice on questions regarding my unique Will circumstances?,"We do not offer legal advice, but you can find helpful information on our Legal Considerations page or consult a lawyer for your specific needs.",Canandawills
Who can help me with specific legal questions about my Will?,"You will need to consult a lawyer for any legal questions regarding your Will, as we do not provide individualized legal advice.",Canandawills
What should I do if the Will doesn’t meet my specific needs?,"If your requirements are unique, you may need to contact a lawyer to draft a Will that fits your situation. Our template covers most common needs.",Canandawills
"If this Will doesn’t cover my unique requirements, what are my next steps?","For unique requirements, consult a lawyer. Our Wills cover most common needs but may not address all individual situations.",Canandawills
How can I get further help if I have additional questions?,"For further assistance, you can reach us via email at helpdesk@canadawills.com or call our customer support at 1-604-229-6617.",Canandawills
Who do I contact if I need more assistance with my Will?,"If you require further help, contact us by emailing helpdesk@canadawills.com or calling our support number.",Canandawills
Is advertising allowed on your website for businesses or professionals?,"No, advertising is not permitted, but we offer a program for non-profits to assist with planned giving and fundraising.",Canandawills
How can non-profits work with your website for planned giving programs?,Non-profit organizations can contact us at contact@nocostwills.com for more information about our planned giving and fundraising program.,Canandawills
