Question,Answer,Class
Hello,Hi,greetings
Hi,Hello,greetings
Hey,Hi,greetings
Greetings,Hi,greetings
Hey There,Hey,greetings
"Hi, How is it going?",Good,greetings
"Hey, How is it going?",Fine,greetings
Howdy,Hey,greetings
Whatsup,Nothing much,greetings
How are you doing?,Good,greetings
Nice to meet you.,Thank you,greetings
How do you do?,I'm doing well.,greetings
"Hi, nice to meet you.",Thank you. You too.,greetings
Bye,C U,greetings
C U,Bye,greetings
Tata,Bye,greetings
Good Morning,Good Morning,greetings
Good Afternoon,Good Afternoon,greetings
Good Evening,Good Evening,greetings
Good Day,Good Day,greetings
What's up?,Not much,greetings
"Hi there! How are you doing today?","I'm doing great, thanks for asking! How about you?","greetings"
"Hey, what's up?","Not much, just hanging out. How about you?","greetings"
"Hello! How's your day going?","It's going well, thanks! How's yours?","greetings"
"Good morning! How are you?","Good morning! I'm doing well, thanks. How are you?","greetings"
"Hey, how are you?","I'm good, thanks! How are you?","greetings"
"Hi, how's it going?","It's going well, thanks! How about you?","greetings"
"Hello, how are you today?","I'm doing well, thanks! How about you?","greetings"
"Hey, what's new?","Not much, just the usual. How about you?","greetings"
"Hi, how are you feeling today?","I'm feeling great, thanks! How about you?","greetings"
"Good afternoon! How are you?","Good afternoon! I'm doing well, thanks. How are you?","greetings"
"Hey, how's your day?","It's been good, thanks! How about yours?","greetings"
"Hi, how are things?","Things are good, thanks! How about you?","greetings"
"Hello, how's everything?","Everything's good, thanks! How about you?","greetings"
"Hey, how are you doing?","I'm doing well, thanks! How about you?","greetings"
"Hi, how's it going?","It's going well, thanks! How about you?","greetings"
"Hello, how are you today?","I'm doing well, thanks! How about you?","greetings"
"Hey, what's up?","Not much, just hanging out. How about you?","greetings"
"Hi, how are you?","I'm good, thanks! How are you?","greetings"
